Nazwa funduszu;Kod;Opis funduszu;Polityka inwestycyjna;Kategoria
ALLIANZ Konserwatywny;ALL005;Allianz Konserwatywny polecany jest inwestorom, którzy szukaj¹ alternatywy dla samodzielnego inwestowania w obligacje, ceni¹cym bezpieczeñstwo i trwa³y wzrost inwestycji, akceptuj¹cym ograniczony poziom zmiennoœci wartoœci jednostki uczestnictwa.;"Aktywa subfunduszu lokowane s¹ g³ównie w krótkoterminowe instrumenty d³u¿ne emitowane lub gwarantowane przez Skarb Pañstwa lub Narodowy Bank Polski oraz inne d³u¿ne papiery wartoœciowe zapewniaj¹ce konkurencyjne oprocentowanie, emitowane przez podmioty o najwy¿szej wiarygodnoœci.
Nie mniej ni¿ 50% wartoœci aktywów netto subfunduszu stanowi¹ d³u¿ne papiery wartoœciowe, instrumenty rynku pieniê¿nego, listy zastawne oraz depozyty bankowe.
Fundusz mo¿e lokowaæ do 30% wartoœci aktywów netto w jednostki uczestnictwa, tytu³y uczestnictwa funduszy zagranicznych oraz tytu³y uczestnictwa emitowane przez instytucje wspólnego inwestowania maj¹ce siedzibê za granic¹.";
Generali konserwatywny;UI_017;"Subfundusz skierowany jest do inwestorów, którzy:

chc¹ lokowaæ œrodki w subfundusz inwestuj¹cy g³ównie w krótkoterminowe d³u¿ne papiery wartoœciowe,
akceptuj¹ niskie ryzyko inwestycyjne,
maj¹ co najmniej 3-miesiêczny horyzont inwestycyjny.";"• Subfundusz inwestuje g³ównie w papiery wartoœciowe emitowane, porêczone lub gwarantowane przez Skarb Pañstwa lub Narodowy Bank Polski oraz w papiery wartoœciowe emitowane, porêczone lub gwarantowane przez pañstwo cz³onkowskie lub nastêpuj¹ce pañstwo nale¿¹ce do OECD: Australia, Kanada, Japonia, Nowa Zelandia, Norwegia, Korea Po³udniowa, Szwajcaria, Wielka Brytania, Stany Zjednoczone.
• Zmodyfikowana Duration czêœci d³u¿nej portfela Subfunduszu zawiera siê w przedziale 0-3.
• D¹¿enie do zabezpieczenia ryzyka walutowego. Subfundusz ma ponadto mo¿liwoœæ inwestowania w inne ni¿ w/w kategorie lokat.";
GOLDMAN SACHS Konserwatywny;ING004;Ten fundusz jest dla osób, które chc¹ inwestowaæ nie krócej ni¿ 1 rok, oczekuj¹ stabilnych zysków porównywalnych do zysków z depozytów bankowych, nie akceptuj¹ ryzyka zwi¹zanego z inwestowaniem w akcje, akceptuj¹ nisk¹ klasê ryzyka.;Fundusz d¹¿y do wzrostu wartoœci aktywów w wyniku wzrostu wartoœci jego lokat. Fundusz inwestuje do 100% zgromadzonych aktywów w d³u¿ne instrumenty finansowe o bardzo niskim ryzyku kredytowym emitowane przede wszystkim przez Skarb Pañstwa. Fundusz mo¿e lokowaæ czêœæ zgromadzonych aktywów w depozytach bankowych. Zarz¹dzaj¹c Funduszem wybieramy instrumenty d³u¿ne pozwalaj¹ce na wzrost wartoœci aktywów przy bardzo niskim ryzyku inwestycyjnym. W tym celu koncentrujemy siê na analizie atrakcyjnoœci instrumentów rynku pieniê¿nego o ró¿nych terminach zapadalnoœci, zmianach stóp procentowych, ryzyku kredytowym emitentów oraz wp³ywie inwestycji na œredni okres do wykupu portfela inwestycyjnego. W przypadku depozytów bankowych analizujemy ich oprocentowanie oraz wiarygodnoœæ banku. W celu ograniczenia ryzyka inwestycyjnego lub w celu zapewnienia sprawnego zarz¹dzania portfelem inwestycyjnym, Fundusz mo¿e zawieraæ umowy maj¹ce za przedmiot instrumenty pochodne, w tym umowy maj¹ce za przedmiot niewystandaryzowane instrumenty pochodne, pod warunkiem ¿e zawarcie umowy bêdzie zgodne z celem inwestycyjnym Funduszu.;
IPOPEMA Konserwatywny Uniwersalny A;IPO082;Subfundusz przeznaczony jest dla klientów indywidualnych, którzy poszukuj¹ ochrony i pomna¿ania kapita³u przy zachowaniu wysokiej p³ynnoœci, firm i instytucji, dla których Subfundusz jest dobrym sposobem na inwestowanie nadwy¿ek finansowych ze wzglêdu na wysok¹ p³ynnoœæ i atrakcyjn¹ stopê zwrotu. Horyzont inwestycyjny inwestora - 6 miesiêcy.;"Subfundusz lokuje swoje œrodki przede wszystkim w Instrumenty Rynku Pieniê¿nego i depozyty bankowe. Od 50% do 100% aktywów Subfunduszu bêd¹ stanowiæ Instrumenty Rynku Pieniê¿nego spe³niaj¹ce kryteria wskazane w statucie IPOPEMA Specjalistycznego Funduszu Inwestycyjnego Otwartego (""Fundusz""), a od 0% do 50% aktywów Subfunduszu depozyty w bankach krajowych lub instytucjach kredytowych. Subfundusz mo¿e równie¿ nabywaæ Aktywa zagraniczne do 35 % Aktywów Subfunduszu. Subfundusz mo¿e nabywaæ Aktywa denominowane w walucie obcej b¹dŸ euro do 35 % Aktywów Subfunduszu. Zyski z lokat Subfunduszu (w tym dywidendy) s¹ ponownie inwestowane, nie s¹ wyp³acane uczestnikom i s³u¿¹ podwy¿szeniu kapita³u Subfunduszu. Subfundusz mo¿e nabywaæ tak¿e inne aktywa szczegó³owo wymienione w prospekcie informacyjnym IPOPEMA SFIO (""Prospekt""). Subfundusz dokonuje doboru lokat kieruj¹c siê zasad¹ maksymalizacji wartoœci aktywów Subfunduszu w d³ugim horyzoncie inwestycyjnym. Subfundusz mo¿e nabywaæ d³u¿ne papiery wartoœciowe emitowane przez przedsiêbiorstwa, w³adze publiczne oraz inne podmioty.";
NOBLE FUND Konserwatywny;NOB001;Osoby fizyczne, osoby prawne lub jednostki organizacyjne nieposiadaj¹ce osobowoœci prawnej, które planuj¹ oszczêdzanie przez okres co najmniej 6 miesiêcy, oczekuj¹ stabilnych zysków porównywalnych lub wy¿szych ni¿ w przypadku depozytów bankowych oraz nie akceptuj¹ ryzyka zwi¹zanego z inwestowaniem w akcje i akceptuj¹ niskie ryzyko zwi¹zane z inwestycjami aktywów subfunduszu w d³u¿ne papiery wartoœciowe, w tym tak¿e emitowane przez przedsiêbiorstwa.;Fundusz realizuje cel inwestycyjny subfunduszu poprzez inwestowanie aktywów subfunduszu w d³u¿ne papiery wartoœciowe, co obejmuje obligacje, bony skarbowe i listy zastawne oraz inne prawa maj¹tkowe opiewaj¹ce wy³¹cznie na wierzytelnoœci pieniê¿ne, w tym instrumenty rynku pieniê¿nego. Fundusz mo¿e inwestowaæ aktywa subfunduszu tak¿e w inne instrumenty finansowe okreœlone w statucie funduszu, przy zachowaniu przewidzianych limitów. Fundusz nie gwarantuje osi¹gniêcia celu inwestycyjnego subfunduszu.;
INVESTOR Konserwatywny;DWS037;"Fundusz przeznaczony jest dla inwestorów

szukaj¹cych krótko i œrednioterminowej lokaty kapita³u o ograniczonej zmiennoœci,

chc¹cych zdywersyfikowaæ portfel inwestycyjny dodaj¹c do niego produkt o relatywnie niskiej zmiennoœci, sk³onnych do zaakceptowania mo¿liwej wiêkszej zmiennoœci zwi¹zanej z poszukiwaniem okazji rynkowych,

aktywnie zarz¹dzaj¹cych portfelem funduszy w okresach gorszej koniunktury na rynkach akcji.";"• Fundusz papierów d³u¿nych o niskim ryzyku stopy procentowej
• Aktywna selekcja emitentów
• Konserwatywne podejœcie do budowy portfela
• Mo¿liwe oportunistyczne inwestycje na rynku akcji

Trzon portfela (70-80%) stanowi¹ papiery d³u¿ne emitowane lub gwarantowane przez Skarb Pañstwa i podmioty o zbli¿onej wiarygodnoœci (BGK, Jednostki Samorz¹du Terytorialnego) oraz najwiêksze krajowe instytucje finansowe (banki, firmy ubezpieczeniowe). Uzupe³nieniem s¹ obligacje korporacyjne emitentów uznanych przez nas na podstawie wewnêtrznych i zewnêtrznych ratingów za spe³niaj¹cych warunek wysokiej wiarygodnoœci kredytowej. Subfundusz lokuje œrodki g³ównie w papiery wartoœciowe, których termin wykupu lub okres odsetkowy (czas, za który emitent nalicza odsetki od kapita³u zainwestowanego) nie przekracza dwóch lat, co ma na celu ograniczenie ryzyka stopy procentowej.

Investor Konserwatywny szuka jednoczeœnie okazji na zwiêkszenie zysków poprzez krótkoterminowe inwestycje ma³ej czêœci portfela w klasy aktywów inne ni¿ obligacje, uczestnicz¹c na przyk³ad w wezwaniach na akcje.";
QUERCUS Agresywny;QRS003;Subfundusz przeznaczony jest dla osób, które planuj¹ inwestowanie w d³ugoterminowym horyzoncie inwestycyjnym, tj. przez okres co najmniej 3 lat, oczekuj¹ wyników inwestycyjnych porównywalnych lub wy¿szych ni¿ benchmark WIG oraz akceptuj¹ wysoki poziom ryzyka inwestycyjnego zwi¹zany z inwestycjami w Instrumenty Udzia³owe, tzn. licz¹ siê z mo¿liwoœci¹ silnych wahañ wartoœci ich inwestycji, szczególnie w krótkim okresie, w³¹cznie z mo¿liwoœci¹ utraty znacznej czêœci zainwestowanych œrodków.;"Subfundusz inwestuje przede wszystkim w Instrumenty Udzia³owe. Czêœæ aktywów Subfundusz inwestuje w Instrumenty D³u¿ne, przede wszystkim emitowane, porêczone lub gwarantowane przez Skarb Pañstwa lub Narodowy Bank Polski lub spó³ki publiczne. Subfundusz mo¿e stosowaæ dŸwigniê finansow¹ za poœrednictwem transakcji przy zobowi¹zaniu siê do odkupu, w wyniku których Subfundusz mo¿e uzyskiwaæ zaanga¿owanie rynkowe powy¿ej wartoœci swoich aktywów oraz zabezpieczenie przy u¿yciu instrumentów pochodnych w celu ochrony aktywów Subfunduszu przed wahaniami kursów walutowych i stóp procentowych.

Subfundusz jest produktem, o którym mowa w art. 8 SFDR (rozporz¹dzenie Parlamentu Europejskiego i Rady z dnia 27 listopada 2019 r. w sprawie ujawniania informacji zwi¹zanych ze zrównowa¿onym rozwojem w sektorze us³ug finansowych), promuj¹cym aspekty œrodowiskowe i spo³eczne.";
SKARBIEC Polskich Innowacji;SKA024;Subfundusz jest rekomendowany inwestorom zainteresowanym d³ugoterminowym oszczêdzaniem przy wykorzystaniu potencja³u wzrostowego akcji spó³ek notowanych na Gie³dzie Papierów Wartoœciowych w Warszawie, dzia³aj¹cych w innowacyjnych sektorach gospodarki. Z uwagi na fakt, ¿e Subfundusz w swoim portfelu inwestycyjnym posiada co najmniej 66% instrumentów udzia³owych, jest on obarczony wysok¹ zmiennoœci¹ wartoœci jednostki uczestnictwa. Zmiennoœæ ta objawia siê mo¿liwoœci¹ wyst¹pienia spadków wartoœci jednostki uczestnictwa, czasami nawet doœæ wysokich, szczególnie w okresach dekoniunktury na rynku akcji. W zwi¹zku z tym zalecany minimalny horyzont inwestycyjny to okres minimum 5 lat.;"Subfundusz Skarbiec Polskich Innowacji lokuje co najmniej 66% wartoœci Aktywów Netto Subfunduszu w akcje, warranty subskrypcyjne, prawa do akcji, prawa poboru, kwity depozytowe i inne instrumenty udzia³owe emitowane przez prywatne spó³ki notowane na Gie³dzie Papierów Wartoœciowych w Warszawie dzia³aj¹ce w innowacyjnych sektorach gospodarki, przy czym za prywatn¹ spó³kê uznaje siê tak¹, w której udzia³ Skarbu Pañstwa w kapitale nie przekracza 5%.

Do 34% Aktywów Subfundusz mo¿e lokowaæ w ka¿d¹ z nastêpuj¹cych kategorii lokat: akcje emitentów; d³u¿ne papiery wartoœciowe, w tym emitowane przez emitentów rz¹dowych, banki centralne, jak i emitentów bêd¹cych podmiotami gospodarczymi, Instrumenty Rynku Pieniê¿nego; depozyty bankowe.";
PKO Technologii i Innowacji Globalny;PKO027;"Wybierz ten Subfundusz jeœli:

d³ugoterminowo poszukujesz potencjalnego zysku wy¿szego ni¿ na obligacjach, akceptujesz wysokie ryzyko inwestycyjne i mo¿esz ponieœæ straty inwestycyjne,
chcesz inwestowaæ g³ównie w portfel akcji spó³ek dzia³aj¹cych w obszarze nowoczesnych technologii,
posiadasz odpowiedni¹ wiedzê i doœwiadczenie w inwestowaniu,
planujesz inwestowaæ w horyzoncie co najmniej 5 lat.
Subfundusz nie jest przeznaczony dla osób w podesz³ym wieku.";PKO Technologii i Innowacji Globalny to subfundusz inwestuj¹cy w akcje miêdzynarodowych firm, które s¹ liderami bran¿, wykorzystuj¹cych nowoczesne technologiei. S¹ to spó³ki o stabilnej sytuacji finansowej. Mog¹ one pochwaliæ siê dynamicznym wzrostem wyników finansowych dziêki wdra¿aniu innowacji w ró¿norodnych sektorach gospodarki. Starannie wybrane spó³ki, wykorzystuj¹c zaawansowane technologie, tworz¹ nowe produkty i zdobywaj¹ nowe rynki zbytu, co bezpoœrednio wp³ywa na poprawê sytuacji finansowej firmy i osi¹gany wynik inwestycyjny. Subfundusz jest zarz¹dzany aktywnie.;
ALLIANZ Stabilnego Wzrostu;ALL003;Allianz Stabilnego Wzrostu polecany jest inwestorom, którzy chc¹ inwestowaæ na cele emerytalne lub inne d³ugofalowe, takie jak np. wykszta³cenie dzieci. Przeznaczony dla osób akceptuj¹cych umiarkowane ryzyko inwestycyjne, przy wzroœcie szans na zysk wiêkszy, ni¿ z tradycyjnych form oszczêdzania.;"Subfundusz inwestuje od 0 do 40% portfela (aktywów netto) w akcje i podobne instrumenty.
Lokaty w certyfikaty inwestycyjne, jednostki uczestnictwa, tytu³y uczestnictwa funduszy zagranicznych oraz tytu³y uczestnictwa emitowane przez instytucje wspólnego inwestowania maj¹ce siedzibê za granic¹ stanowi¹ od 0 do 30% portfela.
Pozosta³a czêœæ portfela jest inwestowana w instrumenty d³u¿ne.";
